t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw
24.152,HOVER,1.4328133899683034e-05,2.684874715384993e-11,0.50812003122193,0.0,0.0,0.5,0.00812004386321516,-1.6784443423841507e-07
24.16,HOVER,1.3988454150956636e-05,2.640756113762277e-11,0.5081149381756436,0.0,0.0,0.5,0.008114950232217505,-1.6784439972729907e-07
24.168,HOVER,1.3656094491953896e-05,2.597296987567079e-11,0.5081098532340221,0.0,0.0,0.5,0.008109864731689183,-1.6784477561436804e-07
24.176000000000002,HOVER,1.3330908624836957e-05,2.5544886810603667e-11,0.5081047763353878,0.0,0.0,0.5,0.008104787298861464,-1.6784480047395434e-07
24.184,HOVER,1.3012752977238432e-05,2.512322636987212e-11,0.5080997074182034,0.0,0.0,0.5,0.008099717871150802,-1.67844713841064e-07
24.192,HOVER,1.2701486656194397e-05,2.470790384958416e-11,0.5080946464210868,0.0,0.0,0.5,0.008094656386170872,-1.6784461129828921e-07
24.2,HOVER,1.2396971402708397e-05,2.429883537809101e-11,0.5080895932828231,0.0,0.0,0.5,0.008089602781743777,-1.678444341161072e-07
24.208000000000002,HOVER,1.2099071546289108e-05,2.3895937957130696e-11,0.5080845479423779,0.0,0.0,0.5,0.008084556995911337,-1.6784471723137357e-07
24.216,HOVER,1.1807653959973915e-05,2.349912945835747e-11,0.5080795103389097,0.0,0.0,0.5,0.008079518966946083,-1.6784428797711155e-07
24.224,HOVER,1.1522588014434367e-05,2.310832868208643e-11,0.508074480411782,0.0,0.0,0.5,0.008074488633361653,-1.678449069796531e-07
24.232,HOVER,1.1243745536157632e-05,2.2723455232963145e-11,0.5080694581005746,0.0,0.0,0.5,0.00806946593392291,-1.6784499491415214e-07
24.240000000000002,HOVER,1.097100076199232e-05,2.2344429717050172e-11,0.5080644433450948,0.0,0.0,0.5,0.008064450807655894,-1.6784424086715252e-07
24.248,HOVER,1.0704230298170048e-05,2.1971173583869224e-11,0.5080594360853886,0.0,0.0,0.5,0.008059443193857157,-1.678449446836008e-07
24.256,HOVER,1.0443313081690813e-05,2.1603609014322094e-11,0.5080544362617507,0.0,0.0,0.5,0.008054443032103039,-1.6784476298931658e-07
24.264,HOVER,1.018813033580263e-05,2.1241659166863604e-11,0.508049443814735,0.0,0.0,0.5,0.008049450262258662,-1.6784477700058788e-07
24.272000000000002,HOVER,9.938565531219975e-06,2.0885248000693467e-11,0.5080444586851641,0.0,0.0,0.5,0.008044464824486296,-1.678450084242148e-07
24.28,HOVER,9.694504346571553e-06,2.0534300332081305e-11,0.5080394808141386,0.0,0.0,0.5,0.00803948665925367,-1.6784415342895972e-07
24.288,HOVER,9.45583462892222e-06,2.0188741833093142e-11,0.5080345101430466,0.0,0.0,0.5,0.008034515707342087,-1.6784512775784217e-07
24.296,HOVER,9.22244635804268e-06,1.9848498903798198e-11,0.5080295466135718,0.0,0.0,0.5,0.00802955190985395,-1.6784518859770893e-07
