t,px,py,pz,vx,vy,vz,roll,pitch,yaw,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms,mode
34.936,0.5574342995654011,8.965253947634745e-15,0.5295853511354889,6.787666590892726e-05,1.1411622555081217e-14,-1.7846661161740824e-07,3.5461601123263678e-15,-0.11261702169932694,-3.329221887840805e-14,3.5461601123263678e-15,-0.11261702169932694,-3.329221887840805e-14,1.115674175050188e-15,-0.00022914914127179247,-2.0618721069969442e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.039562671044787445,-7.009412854710748e-16,-9.409024169827751e-07,0.0,40.81654614865773,40.816544052506245,40.816544052506245,40.81654614865773,0.5582188561252472,6.787690052767282e-05,0.11261702169932694,0.5574342995654011,8.965253947634745e-15,0.02958535113548888,0.03757799993309163,MPC
35.096000000000004,0.5574685570646424,1.0789371635379462e-14,0.5295852785347988,0.00030257324132106057,1.1402951226207896e-14,-6.198746414469702e-07,3.988853097805423e-15,-0.11265414653292746,-3.718413506697132e-14,3.988853097805423e-15,-0.11265414653292746,-3.718413506697132e-14,-7.04281173840387e-16,-0.00023176071626851026,-2.625072897366082e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956218978523379,3.6864230791959974e-16,-7.839542754198292e-08,0.0,40.81663237260878,40.81663219795869,40.81663219795869,40.81663237260878,0.5582530616321921,0.000302573876281651,0.11265414653292746,0.5574685570646424,1.0789371635379462e-14,0.029585278534798753,0.07868099999086553,MPC
35.256,0.5575341775644441,1.2613659832105348e-14,0.5295851472205215,0.0004731503691021475,1.1401610184333242e-14,-9.379528978191066e-07,4.445510868736316e-15,-0.11269055884148478,-4.156151709614506e-14,4.445510868736316e-15,-0.11269055884148478,-4.156151709614506e-14,-4.80258455216655e-16,-0.000221434187190554,-2.7185491435206663e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956171765291916,-1.7102926833132852e-16,6.121776519579097e-07,0.0,40.816717134592515,40.816718498407795,40.816718498407795,40.816717134592515,0.5583185829690079,0.0004731512987799325,0.11269055884148478,0.5575341775644441,1.2613659832105348e-14,0.029585147220521524,0.03678499990655837,MPC
35.416000000000004,0.5576212445359089,1.4442164195381416e-14,0.5295849762108684,0.000583571096512618,1.1454371025805918e-14,-1.1408783881152315e-06,4.82256516871828e-15,-0.11272445518156066,-4.5920463020272596e-14,4.82256516871828e-15,-0.11272445518156066,-4.5920463020272596e-14,-3.0372263318777735e-15,-0.00020136422993482532,-2.7807076038222494e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956127804034759,1.938611939186193e-15,1.1289690405487385e-06,0.0,40.81679619889471,40.81679871402283,40.81679871402283,40.81679619889471,0.5584055185751422,0.0005835722117171411,0.11272445518156066,0.5576212445359089,1.4442164195381416e-14,0.02958497621086842,0.037289999909262406,MPC
35.576,0.5577207184760852,1.6301177580325052e-14,0.5295847827648562,0.0006402090319069553,1.1741235096084953e-14,-1.2412975177775776e-06,5.2790709118160066e-15,-0.11275453503416842,-5.091494627523072e-14,5.2790709118160066e-15,-0.11275453503416842,-5.091494627523072e-14,-1.7489259383046824e-15,-0.00017461465572725805,-3.361101002020349e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956088784229894,8.242068749548302e-16,1.479803498131288e-06,0.0,40.81686649615081,40.816869792871316,40.816869792871316,40.81686649615081,0.5585048425830562,0.000640210235278044,0.11275453503416842,0.5577207184760852,1.6301177580325052e-14,0.02958478276485621,0.13037300004725694,MPC
35.736000000000004,0.5578247416559922,1.8225903723582584e-14,0.5295845818203073,0.0006510150227470629,1.2241072706961826e-14,-1.2547501374629138e-06,5.7829182491733195e-15,-0.11277996771936862,-5.6166783640870625e-14,5.7829182491733195e-15,-0.11277996771936862,-5.6166783640870625e-14,-1.037938056244591e-15,-0.0001439812010325323,-3.284252395357064e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956055787116575,1.6835913352556838e-16,1.679789657106287e-06,0.0,40.816926050764465,40.816929793016065,40.816929793016065,40.816926050764465,0.5586087091024063,0.0006510162319330189,0.11277996771936862,0.5578247416559922,1.8225903723582584e-14,0.02958458182030732,0.04653799999232433,MPC
35.896,0.5579268173917784,2.0231881272030275e-14,0.5295843856689995,0.0006247695463517588,1.2731268439458815e-14,-1.1982570001850084e-06,6.322185020098273e-15,-0.11280034092241364,-6.128897035465651e-14,6.322185020098273e-15,-0.11280034092241364,-6.128897035465651e-14,-1.5323340479704307e-15,-0.00011189662738473512,-3.195938649398435e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956029351300894,3.348313142559813e-16,1.749025737865506e-06,0.0,40.81697386461249,40.81697776110891,40.81697776110891,40.81697386461249,0.5587106312218615,0.0006247706954302682,0.11280034092241364,0.5579268173917784,2.0231881272030275e-14,0.029584385668999458,0.03611800002545351,MPC
36.056,0.5580218798610749,2.2324496940642017e-14,0.5295842038385703,0.0005704433280709781,1.3328347558171663e-14,-1.089112225680852e-06,6.892273408372019e-15,-0.1128155973362288,-6.710057870512103e-14,6.892273408372019e-15,-0.1128155973362288,-6.710057870512103e-14,-2.8048915178045924e-15,-8.037461193072034e-05,-4.057497212625807e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956009554164758,1.0377710067971467e-15,1.7105050319574794e-06,0.0,40.81700977189795,40.817013582577566,40.817013582577566,40.81700977189795,0.5588055507244447,0.0005704443677573946,0.1128155973362288,0.5580218798610749,2.2324496940642017e-14,0.0295842038385703,0.06341899995732092,MPC
36.216,0.558106273082041,2.4522653308297644e-14,0.5295840430805618,0.0004966786203959029,1.4015262425158236e-14,-9.465478127307465e-07,7.697668590379693e-15,-0.11282596631180164,-7.442864316459165e-14,7.697668590379693e-15,-0.11282596631180164,-7.442864316459165e-14,6.001669702447356e-16,-5.112787555269156e-05,-4.9477018359928146e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.03955995948077945,-2.9528280062424455e-15,1.6337178980526529e-06,0.0,40.817034506139514,40.81703814575201,40.817038145751994,40.8170345061395,0.5588898171003996,0.0004966795223392437,0.11282596631180164,0.558106273082041,2.4522653308297644e-14,0.02958404308056184,0.05156800000349904,MPC
36.376,0.558177658584379,2.6856217179936466e-14,0.5295839075314214,0.00041139127187728825,1.5091318324801403e-14,-7.793061731976737e-07,7.997211931364361e-15,-0.11283189093955064,-8.135381057341871e-14,7.997211931364361e-15,-0.11283189093955064,-8.135381057341871e-14,2.222737793992747e-15,-2.522852751934673e-05,-3.5602645602806797e-14,0.0,0.0,0.5,0.0,0.0,0.0,-0.039559882353372544,-1.9734420372829335e-15,1.7666789537112287e-06,0.0,40.81704833038987,40.81705226621428,40.81705226621428,40.81704833038987,0.5589610953613563,0.00041139201000374876,0.11283189093955064,0.558177658584379,2.6856217179936466e-14,0.029583907531421372,0.04733399998713139,MPC
