t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
6.96,CIRCLE,0.358093732622129,0.8378589924157566,0.5003270199411145,-0.23636366277826032,0.22679960660853082,0.00020689455204054083,0.009587550973356214,-0.013781683756771138,0.00030756080181606576,0.3548837399294234,0.8522180164808515,0.5,0.0004236639448197289,-1.0815951047809256e-05,-0.00012332928389983857,40.68933876855107,40.68910615459271,40.68908575439977,40.68931836835814,0.014717084195963723
7.12,CIRCLE,0.31885664011873893,0.8720829595591656,0.5003543678130492,-0.2507958088004315,0.20499085840330844,0.0001475474133452199,0.01136070838875575,-0.012449109213605956,0.00030708849940848886,0.3177427338173954,0.8860564144088889,0.5,0.0004240654742870296,-2.3011216337286925e-05,-9.506223534526826e-05,40.689385196160835,40.689205897277766,40.68916249533826,40.68934179422133,0.014022261024255503
7.28,CIRCLE,0.2775349487415499,0.9026102065886449,0.500372705429861,-0.26295211197420665,0.1810506956857812,9.350533954439493e-05,0.013037056267976733,-0.01136095701353887,0.000306348247739874,0.2773931723706487,0.9159964277757053,0.5,0.0004254741848789339,-3.5040455105775836e-05,-5.9120948948111133e-05,40.68957870555939,40.68946719629312,40.68940110575316,40.68951261501943,0.013392159181614441
7.44,CIRCLE,0.23445390446030448,0.9291203817615533,0.5003830319442932,-0.2732178613505311,0.15519900188716682,4.6245722839595636e-05,0.014592353539813266,-0.010431765621973767,0.00030554356917326513,0.2342425040902967,0.9417357233431629,0.5,0.0004275043255063908,-4.6482894062596994e-05,-2.042398380052487e-05,40.689864374153494,40.68982585204774,40.68973817968282,40.68977670178857,0.01262292544569113
7.6000000000000005,CIRCLE,0.18989108191873383,0.9513313287358346,0.5003865242465122,-0.2818321946218635,0.12768654901430754,6.645450705833847e-06,0.016004262969245238,-0.009572014532454208,0.000305417700908815,0.1887264629591252,0.9630143865787951,0.5,0.0004298152356103733,-5.704532255168841e-05,1.6846692219655234e-05,40.69019362072459,40.690225395625404,40.690117801241776,40.69008602634097,0.011747322200237094
7.76,CIRCLE,0.14409962679024982,0.9690036437050537,0.5003844478167904,-0.28889165121266364,0.09879086272622348,-2.49473777293303e-05,0.017252967595179917,-0.008697509667028397,0.00030703206180440653,0.14130466841463432,0.9796175462639272,0.5,0.0004321190564962056,-6.650098770554272e-05,4.9421925474249604e-05,40.690525164334204,40.69061838006814,40.690492951155434,40.690399735421494,0.010982464203197739
7.92,CIRCLE,0.09732962297655048,0.981944495113535,0.5003780784598186,-0.2943668032928958,0.06881133795082896,-4.8649567443828756e-05,0.01832161218697509,-0.007736508508863731,0.000311537842539676,0.09245598412756623,0.991377544255945,0.5,0.0004341878972488743,-7.470590055739363e-05,7.503438484725999e-05,40.69082605482816,40.69096757876083,40.690826674389285,40.690685150456616,0.010624392456758669
8.08,CIRCLE,0.04984586910931793,0.9900106797309393,0.500368633936153,-0.2981280182300651,0.03806534584564862,-6.496967439091382e-05,0.019191662961566477,-0.006634448550394787,0.0003199505304317403,0.0426736824528236,0.9981756284945256,0.5,0.0004358579282768403,-8.536354348326813e-05,9.240392766473443e-05,40.69107586482854,40.69125014982154,40.69108914384533,40.69091485885234,0.010873938602294414
8.24,CIRCLE,0.0019409814002924572,0.9931119344049082,0.5003572252836126,-0.29997644212166924,0.006892378370425143,-7.469337479537113e-05,0.01985030842861404,-0.005356368950911901,0.0003329579355941807,-0.0075395366180186375,0.9999431521559081,0.5,0.0004370230727427564,-8.458874320721932e-05,0.00010114652416618445,40.69124559248629,40.69143636707457,40.691276822465476,40.691086047877185,0.011690738546402872
8.4,CIRCLE,-0.046056662546649946,0.9912123304775375,0.5003447875023093,-0.29967662397493605,-0.024372684759439447,-7.913423488048479e-05,0.02030262611581113,-0.0038872847613716944,0.0003508175378958895,-0.05767662170415417,0.9966622668461899,0.5,0.0004376907228038548,-8.880507642911083e-05,0.00010162900891939224,40.69135151404751,40.69154319866044,40.6913757015365,40.691184016923565,0.012839164134248543
8.56,CIRCLE,-0.0937801067470714,0.9843282928859503,0.5003320270166954,-0.29698780646509043,-0.0554058208458014,-7.973033119388945e-05,0.020545630404767194,-0.002230902283141739,0.00037329953997651674,-0.10723129022316921,0.9883661028338008,0.5,0.00043793226987766734,-9.220142692269824e-05,9.492737884804833e-05,40.69139808415156,40.69157712867896,40.69140322562686,40.691224181099464,0.014048077734068208
8.72,CIRCLE,-0.1408256824374696,0.9725277656927274,0.5003194281635459,-0.2916915467051991,-0.08588641036962738,-7.782214345681917e-05,0.020576993538826343,-0.0004069639169276143,0.00039981402608574697,-0.15570314081536413,0.9751384345011787,0.5,0.0004378488401833734,-9.461396547582246e-05,8.209340238717839e-05,40.69139966657262,40.69155450466688,40.69137605127504,40.69122121318079,0.015108156530995799
8.88,CIRCLE,-0.1867588054934823,0.9559294415334098,0.50030727202001,-0.2836141997022308,-0.11550012789448488,-7.464814658927907e-05,0.02039702375471695,0.0015518160564405056,0.0004293195463116204,-0.20260270637968925,0.9571128343939004,0.5,0.00043756809278265655,-9.583303715840659e-05,6.47200085552095e-05,40.691374140975626,40.691496210746074,40.691315458037465,40.69119338826702,0.0158910046897133
9.040000000000001,CIRCLE,-0.23112280023716253,0.9347013865507656,0.5002956606081345,-0.27264315244208204,-0.1439427043991514,-7.120574382157267e-05,0.020008388453148503,0.003603939348989342,0.00046044076451895265,-0.2474563966959068,0.9344713244096531,0.5,0.00043721866779111913,-9.617977657372682e-05,4.459797706001037e-05,40.69133985147534,40.69142396865863,40.69124256195752,40.691158444774224,0.016337892062964522
