t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
17.84,HOVER,-0.4440803454249909,-1.0837718864308976e-13,0.4930063310488238,-0.00030747952037330514,-1.474606305432806e-15,-6.829859294592924e-06,-2.609067271177541e-14,0.1127920122610603,-2.5021296380927196e-13,0.0,0.0,0.5,0.00125649950270821,-3.0437164830946733e-15,-1.188662306128658e-06,40.816948897469494,40.816946655508495,40.816946655508495,40.816948897469494,0.4441354124568068
18.0,HOVER,-0.4441269129487157,-1.0897506852418131e-13,0.4930052106215906,-0.00027788786609378116,-5.4432850889017765e-15,-7.040639904566836e-06,-2.562360445524735e-14,0.11280214938129211,-2.521866701402655e-13,0.0,0.0,0.5,0.001256698364287631,-3.1142711068804312e-15,-1.287155730822582e-06,40.81697949059699,40.816977062865476,40.816977062865476,40.81697949059699,0.4441819918499673
18.16,HOVER,-0.44416740331561655,-1.1025142655564416e-13,0.49300410633854735,-0.00023504854819948962,-9.623949758941057e-15,-6.749845611465794e-06,-2.6150938387912564e-14,0.1128091683629697,-2.5393734975734433e-13,0.0,0.0,0.5,0.0012568430203687548,-2.3073015092319855e-15,-1.281694361077252e-06,40.817001671962096,40.81699925453139,40.81699925453139,40.817001671962096,0.44422249458605756
18.32,HOVER,-0.4442002010273658,-1.1208454007138328e-13,0.49300308685152694,-0.00018417824786387158,-1.2388775290869482e-14,-6.067490133307912e-06,-2.785407154259768e-14,0.11281315656698199,-2.566605748906306e-13,0.0,0.0,0.5,0.001256933945508664,8.299474063687639e-16,-1.1901602274711772e-06,40.81701553121348,40.81701328642722,40.81701328642722,40.81701553121348,0.4442553042861272
18.48,HOVER,-0.44422449100227984,-1.1411219122851955e-13,0.4930022061326013,-0.0001300989854183952,-1.2412197427905957e-14,-5.096950334732383e-06,-2.9797097441579036e-14,0.11281438620838206,-2.58659827415173e-13,0.0,0.0,0.5,0.0012569732518660857,-4.476533864235694e-16,-1.024346892464307e-06,40.817021403423894,40.817019471381656,40.817019471381656,40.817021403423894,0.44427960511961967
18.64,HOVER,-0.44424016964737756,-1.1623627363562948e-13,0.4930014984081316,-7.695204673852282e-05,-1.5314161044882164e-14,-3.954789054347607e-06,-2.4990575962499477e-14,0.11281341668530163,-2.698552563686886e-13,0.0,0.0,0.5,0.0012569675315806102,-1.4408214870728295e-14,-1.4789559630746526e-06,40.81702095480338,40.81701816531341,40.81701816531337,40.81702095480335,0.4442952929672586
18.8,HOVER,-0.4442477027458934,-1.193920550954828e-13,0.4930009833098857,-2.798703997328058e-05,-2.2023642771683416e-14,-2.7281209900102723e-06,-3.311513735705868e-14,0.11281032822192226,-3.2016401670986915e-13,0.0,0.0,0.5,0.0012569226517893536,5.124403774239531e-15,-5.220875927026421e-07,40.817013169015,40.8170121842946,40.81701218429462,40.81701316901501,0.4443028332451102
18.96,HOVER,-0.4442480495304917,-1.2337670766820501e-13,0.4930006615107166,1.3953536846650606e-05,-2.722886847978041e-14,-1.5471774998079811e-06,-3.6496746022465466e-14,0.11280597175831425,-3.691822677590188e-13,0.0,0.0,0.5,0.0012568519175104036,4.175056362569251e-15,-4.077742940423464e-07,40.81700221239486,40.817001443283175,40.817001443283175,40.81700221239486,0.44430318505603106
19.12,HOVER,-0.4442424822302796,-1.2854380434720434e-13,0.49300051807875966,4.7455514204420965e-05,-3.634257434573903e-14,-4.819536526560135e-07,-3.8354385129189694e-14,0.11280087410746308,-4.1644047557835426e-13,0.0,0.0,0.5,0.0012567648978679417,8.136822743637634e-16,-2.2384363334024347e-07,40.81698869236619,40.81698827017,40.81698827017,40.81698869236619,0.44429762070630774
19.28,HOVER,-0.4442324266349659,-1.357181288744383e-13,0.49300053020882467,7.182677029530536e-05,-5.135719370600725e-14,4.2293164153130577e-07,-3.950580944868248e-14,0.1127954596204417,-4.631359923848815e-13,0.0,0.0,0.5,0.0012566697935962466,-3.918008809965315e-15,-4.133817775872704e-08,40.81697393370775,40.81697385573895,40.81697385573895,40.81697393370775,0.4442875661678458
19.44,HOVER,-0.44421935244350136,-1.4581347419593195e-13,0.4930006691414043,8.706875597928402e-05,-7.13444866343084e-14,1.1375672034632839e-06,-4.2622088468625536e-14,0.11279014292275005,-5.086912973850427e-13,0.0,0.0,0.5,0.0012565742322673387,-2.898882342344138e-15,1.116006853706656e-07,40.81695913283161,40.81695934332401,40.81695934332401,40.81695913283161,0.44427449141019987
