t,mode,dist_enabled,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_lqr_0,u_lqr_1,u_lqr_2,du_dist_0,du_dist_1,du_dist_2,u_total_0,u_total_1,u_total_2,m1,m2,m3,m4,d_fx_raw,d_fy_raw,d_fz_raw,d_fx_filt,d_fy_filt,d_fz_filt,pos_error
26.64,HOVER,True,0.0705179769249137,1.1067548478710581e-10,0.5000681803901962,-0.05742936342139247,3.220259439810264e-11,-7.252308106334864e-05,-1.507811510305084e-12,-0.004894276085379857,4.2773075219254674e-13,0.0,0.0,0.5,0.00041331679157500335,2.2360245653143227e-12,-0.1999537183301475,0.0,-2.240347663129602e-12,0.2,0.00041331679157500335,-4.323097815279382e-15,4.6281669852515916e-05,40.68758162836559,40.6876689211973,40.6876689211973,40.68758162836559,-0.3472187668278145,4.4847964585393896e-13,-3.0,-0.3639409088664501,4.37431505128082e-13,-2.9999999999999956,0.07051800988505183
26.72,HOVER,True,0.0657595949905864,1.1329455194077634e-10,0.500063083673603,-0.06025546543523645,3.2970214948685636e-11,-6.0203630440510526e-05,-1.54479929179889e-12,-0.0038265326095444406,4.281523635389204e-13,0.0,0.0,0.5,0.0004123315877658366,2.2453429962291408e-12,-0.19998358850226955,0.0,-2.248845320622183e-12,0.2,0.0004123315877658366,-3.502324393042356e-15,1.641149773046191e-05,40.68745869286707,40.687489646938396,40.687489646938396,40.68745869286707,-0.3391225689507227,4.545593929444741e-13,-3.0,-0.3556024089159808,4.430983934487787e-13,-2.9999999999999956,0.06575962524890049
26.8,HOVER,True,0.06082387713747414,1.1597611904918539e-10,0.5000588415615876,-0.062212439893208585,3.375737327944937e-11,-5.0228861440950976e-05,-1.5828575473496669e-12,-0.002763322889079862,4.284827617393171e-13,0.0,0.0,0.5,0.00041148960666618665,2.2545258528907173e-12,-0.20001182860440783,0.0,-2.2583321232424344e-12,0.2,0.00041148960666618665,-3.8062703517171445e-15,-1.1828604407820853e-05,40.68735618678715,40.68733387660739,40.68733387660739,40.68735618678715,-0.3311486999754695,4.60866719446693e-13,-3.0,-0.34738582584618505,4.4897715302075075e-13,-2.9999999999999956,0.0608239055993934
26.88,HOVER,True,0.055779397731132115,1.1872177781147622e-10,0.5000552662703978,-0.06331880741796173,3.4564547939000816e-11,-4.258760711333702e-05,-1.6215724541831743e-12,-0.0017204045210788802,4.2852922367636213e-13,0.0,0.0,0.5,0.000410813380856708,2.2643474251972877e-12,-0.20003811937778523,0.0,-2.2687301136347155e-12,0.2,0.000410813380856708,-4.382688437427838e-15,-3.8119377785222897e-05,40.687277264962724,40.687205367201905,40.687205367201905,40.687277264962724,-0.3232971059597083,4.674103517311541e-13,-3.0,-0.3392913099100077,4.550758331276996e-13,-2.9999999999999956,0.05577942511005712
26.96,HOVER,True,0.05069258366441144,1.2153314858925023e-10,0.5000521776070919,-0.06360484324177801,3.5392105512391486e-11,-3.7151317582091834e-05,-1.6613388165991488e-12,-0.0007122407327853556,4.2870409045631626e-13,0.0,0.0,0.5,0.0004103136293234628,2.276123672713831e-12,-0.20006219061802719,0.0,-2.280083421755573e-12,0.2,0.0004103136293234628,-3.9597490417421306e-15,-6.219061802717474e-05,40.687223316591016,40.68710601755729,40.68710601755729,40.687223316591016,-0.3155676427249269,4.741980961676653e-13,-3.0,-0.3313189114017471,4.614026201844639e-13,-2.9999999999999956,0.05069261051747124
27.04,HOVER,True,0.04562684028705733,1.2441188904375898e-10,0.5000494112153373,-0.06311138217579589,3.624051463130693e-11,-3.369497616424265e-05,-1.7019399190625423e-12,0.00024813427237734356,4.2928595875809575e-13,0.0,0.0,0.5,0.0004099900094972121,2.2883102845357645e-12,-0.20008382209323086,0.0,-2.2925514115073865e-12,0.2,0.0004099900094972121,-4.24112697162198e-15,-8.382209323085088e-05,40.68719408143869,40.687035982824256,40.687035982824256,40.68719408143869,-0.30796008091471644,4.812378942212639e-13,-3.0,-0.32346858558322067,4.679655147669783e-13,-2.9999999999999956,0.045626867041786236
27.12,HOVER,True,0.04064177763484149,1.2735969147841283e-10,0.5000468251520713,-0.06188854380140063,3.711022448654403e-11,-3.191575489180031e-05,-1.743723071140428e-12,0.0011491901104953236,4.3044881098693835e-13,0.0,0.0,0.5,0.0004098318420783009,2.3032414180676778e-12,-0.20010255033680804,0.0,-2.3063122071538087e-12,0.2,0.0004098318420783009,-3.0707890861308973e-15,-0.00010255033680803272,40.687187484499326,40.68699406215047,40.68699406215047,40.687187484499326,-0.30047411100953414,4.885372384029971e-13,-3.0,-0.3157401976557882,4.7477244649921e-13,-2.9999999999999956,0.04064180460947531
27.2,HOVER,True,0.03579254065730607,1.3037829769076585e-10,0.5000443039914868,-0.05999442199657305,3.8001929141950836e-11,-3.1480054331503425e-05,-1.7865730010686392e-12,0.001981075506051534,4.3426605530445054e-13,0.0,0.0,0.5,0.000409822105684471,2.3168165825280995e-12,-0.20011912544917831,0.0,-2.321994017110604e-12,0.2,0.000409822105684471,-5.1774345825044134e-15,-0.00011912544917830337,40.68720162252156,40.68697693750436,40.68697693750435,40.68720162252155,-0.2931093483408005,4.961032041152723e-13,-3.0,-0.3081335277275509,4.818309889359889e-13,-2.9999999999999956,0.0357925680770264
27.28,HOVER,True,0.031129252879646723,1.334694928121888e-10,0.5000417609073297,-0.057493611194007324,3.891606541896747e-11,-3.201524373220301e-05,-1.830743042204936e-12,0.0027356364447813104,4.3822285777702893e-13,0.0,0.0,0.5,0.0004099360378352539,2.335113114278121e-12,-0.2001327065900447,0.0,-2.3397953454420764e-12,0.2,0.0004099360378352539,-4.682231163955255e-15,-0.00013270659004469,40.68723190461565,40.68698160392278,40.68698160392277,40.687231904615636,-0.285865338395352,5.039439484979336e-13,-3.0,-0.30064827591554827,4.891489387552612e-13,-2.9999999999999956,0.031129280891443265
27.36,HOVER,True,0.026696570473137886,1.366351124568428e-10,0.5000391383382512,-0.05445592503824932,3.9853367617027754e-11,-3.316070315275941e-05,-1.8759615274861524e-12,0.0034061600019523533,4.4162215297716915e-13,0.0,0.0,0.5,0.00041014605022138224,2.354351773364521e-12,-0.20014330357004434,0.0,-2.3591609083279804e-12,0.2,0.00041014605022138224,-4.809134963459299e-15,-0.0001433035700443286,40.687274108697835,40.68700382081794,40.68700382081793,40.68727410869782,-0.27874156074186546,5.120664673305707e-13,-3.0,-0.2932840671721922,4.967337466946795e-13,-2.9999999999999956,0.026696599162379066
