t,controller,scenario,mode,px,py,pz,vx,vy,yaw,ref_px,ref_py,ref_pz,ex,ey,ez,pos_error,wind_on
6.872,PID,HOVER_NO_WIND,HOVER,-0.03157966064950354,-1.9609445663948135e-16,0.48998631401311266,0.006370668594483924,2.3737809868065944e-16,1.1667990966464317e-15,0.0,0.0,0.5,-0.03157966064950354,-1.9609445663948135e-16,-0.010013685986887344,0.033129275177428585,0
6.88,PID,HOVER_NO_WIND,HOVER,-0.03152931531467176,-1.9413658452972716e-16,0.4899930893755299,0.0062931668539717035,2.3721027144568416e-16,1.1955415211723171e-15,0.0,0.0,0.5,-0.03152931531467176,-1.9413658452972716e-16,-0.010006910624470122,0.03307923796670849,0
6.888,PID,HOVER_NO_WIND,HOVER,-0.03147958590124912,-1.922030313351822e-16,0.49000007497689674,0.006216176677830207,2.345761747374849e-16,1.1450727592767039e-15,0.0,0.0,0.5,-0.03147958590124912,-1.922030313351822e-16,-0.009999925023103262,0.033029726444247294,0
6.896,PID,HOVER_NO_WIND,HOVER,-0.031430468238243234,-1.9031127391455717e-16,0.49000726400162153,0.006139707875735945,2.293531470548921e-16,1.1590992059021886e-15,0.0,0.0,0.5,-0.031430468238243234,-1.9031127391455717e-16,-0.009992735998378466,0.03298073841514931,0
6.904,PID,HOVER_NO_WIND,HOVER,-0.03138195808059176,-1.884752185759405e-16,0.49001464975522113,0.006063769706434597,2.223863493575011e-16,1.174280738601493e-15,0.0,0.0,0.5,-0.03138195808059176,-1.884752185759405e-16,-0.009985350244778868,0.0329322715961551,0
6.912,PID,HOVER_NO_WIND,HOVER,-0.03133405111343745,-1.8671529213838006e-16,0.4900222256633799,0.005988370894288541,2.1286419705464878e-16,1.1900745238081497e-15,0.0,0.0,0.5,-0.03133405111343745,-1.8671529213838006e-16,-0.009977774336620115,0.03288432361919621,0
6.92,PID,HOVER_NO_WIND,HOVER,-0.031286742956274025,-1.8505539849043576e-16,0.4900299852709853,0.0059135196454279965,2.0035323113136227e-16,1.2062993427596098e-15,0.0,0.0,0.5,-0.031286742956274025,-1.8505539849043576e-16,-0.009970014729014709,0.03283689203485513,0
6.928,PID,HOVER_NO_WIND,HOVER,-0.031240029166965926,-1.8352190067675475e-16,0.4900379222411418,0.0058392236635122895,1.845898644128509e-16,1.2154633400368432e-15,0.0,0.0,0.5,-0.031240029166965926,-1.8352190067675475e-16,-0.009962077758858212,0.032789974315732835,0
6.936,PID,HOVER_NO_WIND,HOVER,-0.031193905245644988,-1.8210175151583128e-16,0.49004603035416394,0.005765490165117281,1.7046802535914332e-16,1.2229003179899723e-15,0.0,0.0,0.5,-0.031193905245644988,-1.8210175151583128e-16,-0.009953969645836058,0.03274356785972633,0
6.944,PID,HOVER_NO_WIND,HOVER,-0.031148366638487027,-1.8077235473686763e-16,0.49005430350655016,0.005692325894745063,1.5909751368872194e-16,1.2432674819739123e-15,0.0,0.0,0.5,-0.031148366638487027,-1.8077235473686763e-16,-0.00994569649344984,0.03269766999321866,0
6.952,PID,HOVER_NO_WIND,HOVER,-0.03110340874137124,-1.795107702886772e-16,0.490062735709938,0.005619737139473264,1.5051861102673908e-16,1.2775410697832716e-15,0.0,0.0,0.5,-0.03110340874137124,-1.795107702886772e-16,-0.009937264290061976,0.03265227797418351,0
6.96,PID,HOVER_NO_WIND,HOVER,-0.031059026903425293,-1.782992630946679e-16,0.49007132109004253,0.005547729743243536,1.4466306982716487e-16,1.221279647273769e-15,0.0,0.0,0.5,-0.031059026903425293,-1.782992630946679e-16,-0.009928678909957467,0.03260738899520675,0
6.968,PID,HOVER_NO_WIND,HOVER,-0.031015216430458858,-1.7712346800523437e-16,0.4900800538855782,0.005476309120804388,1.401584203900455e-16,1.2446276568375715e-15,0.0,0.0,0.5,-0.031015216430458858,-1.7712346800523437e-16,-0.009919946114421818,0.03256300018642689,0
6.976,PID,HOVER_NO_WIND,HOVER,-0.030971972588288408,-1.7597723192906957e-16,0.4900889284471663,0.0054054802713062195,1.3642468004042735e-16,1.2681258900453657e-15,0.0,0.0,0.5,-0.030971972588288408,-1.7597723192906957e-16,-0.009911071552833717,0.03251910861839664,0
6.984,PID,HOVER_NO_WIND,HOVER,-0.030929290605955888,-1.7485542638752913e-16,0.4900979392362279,0.005335247791565015,1.3333953852313196e-16,1.2906905992838742e-15,0.0,0.0,0.5,-0.030929290605955888,-1.7485542638752913e-16,-0.009902060763772091,0.03247571130486761,0
6.992,PID,HOVER_NO_WIND,HOVER,-0.030887165678843923,-1.7374789274287481e-16,0.4901070808238642,0.005265615888995572,1.3159537550149776e-16,1.3001954993715563e-15,0.0,0.0,0.5,-0.030887165678843923,-1.7374789274287481e-16,-0.009892919176135773,0.032432805205500015,0
7.0,PID,HOVER_NO_WIND,HOVER,-0.03084559297169016,-1.7264439743101683e-16,0.4901163478897246,0.0051965883942203415,1.3113147407428467e-16,1.3095976420861851e-15,0.0,0.0,0.5,-0.03084559297169016,-1.7264439743101683e-16,-0.00988365211027542,0.03239038722849934,0
7.008,PID,HOVER_NO_WIND,HOVER,-0.03080456762150323,-1.715342292291629e-16,0.49012573522086383,0.005128168773366449,1.3200194019367947e-16,1.3199809400225492e-15,0.0,0.0,0.5,-0.03080456762150323,-1.715342292291629e-16,-0.009874264779136166,0.03234845423318174,0
7.016,PID,HOVER_NO_WIND,HOVER,-0.030764084740382808,-1.7041225246601105e-16,0.4901352377105891,0.005060360140052632,1.335768669198653e-16,1.3181331544607891e-15,0.0,0.0,0.5,-0.030764084740382808,-1.7041225246601105e-16,-0.009864762289410911,0.03230700303247019,0
7.024,PID,HOVER_NO_WIND,HOVER,-0.030724139418246227,-1.6927778262441179e-16,0.49014485035729755,0.0049931652670726035,1.3517212663892524e-16,1.3291375722624393e-15,0.0,0.0,0.5,-0.030724139418246227,-1.6927778262441179e-16,-0.009855149642702454,0.03226603039532273,0
